L1	Neutral	Water	Earth	Fire	Wind	Poison	Holy	Shadow	Ghost	Undead
Neutral	100	100	100	100	100	100	100	100	70	100
Water	100	25	100	90	175	100	100	100	100	100
Earth	100	100	25	150	90	125	100	100	100	100
Fire	100	150	90	25	100	125	100	100	100	100
Wind	100	90	150	100	25	125	100	100	100	100
Poison	100	100	100	100	100	0	100	50	100	50
Holy	100	75	75	75	75	75	0	125	75	100
Shadow	100	100	100	100	100	50	125	0	75	0
Ghost	70	100	100	100	100	100	100	100	125	100
Undead	100	100	100	125	100	-25	150	-25	100	0

L2	Neutral	Water	Earth	Fire	Wind	Poison	Holy	Shadow	Ghost	Undead
Neutral	100	100	100	100	100	100	100	100	50	100
Water	100	0	100	80	175	75	100	100	75	75
Earth	100	100	0	175	80	125	100	100	75	75
Fire	100	175	90	0	100	125	100	100	75	75
Wind	100	80	175	100	0	125	100	100	75	75
Poison	100	100	100	100	100	0	100	25	75	25
Holy	100	50	50	50	50	50	-25	150	50	125
Shadow	100	75	75	75	75	25	150	-25	50	0
Ghost	50	100	100	100	100	75	100	100	150	100
Undead	100	100	100	150	100	-50	175	-50	125	0

L3	Neutral	Water	Earth	Fire	Wind	Poison	Holy	Shadow	Ghost	Undead
Neutral	100	100	100	100	100	100	100	100	0	100
Water	100	-25	100	70	200	50	100	100	50	50
Earth	100	100	-25	200	70	100	100	100	50	50
Fire	100	200	70	-25	100	100	100	100	50	50
Wind	100	70	200	100	-25	100	100	100	50	50
Poison	100	100	100	100	100	0	125	0	50	0
Holy	100	25	25	25	25	25	-50	175	25	150
Shadow	100	50	50	50	50	0	175	-50	25	0
Ghost	0	100	100	100	100	50	100	100	175	100
Undead	100	125	100	175	100	-75	200	-75	150	0

L4	Neutral	Water	Earth	Fire	Wind	Poison	Holy	Shadow	Ghost	Undead
Neutral	100	100	100	100	100	100	100	100	0	100
Water	100	-50	100	60	200	25	75	75	25	25
Earth	100	100	-50	200	60	75	75	75	25	25
Fire	100	200	60	-50	100	75	75	75	25	25
Wind	100	60	200	100	-50	75	75	75	25	25
Poison	100	75	75	75	75	0	125	-25	25	-25
Holy	100	0	0	0	0	0	-100	200	0	175
Shadow	100	25	25	25	25	-25	200	-100	0	0
Ghost	0	100	100	100	100	25	100	100	200	100
Undead	100	150	50	200	100	-100	200	-100	175	0
